1,0,vanilla ice cream,icecream,1
2,0,chocolate ice cream,icecream,2
3,0,strawberry ice cream,icecream,3
4,0,6-pack of paycheck pilsners,beer,4
5,0,seven fabergé easter eggs,eggs,5
6,0,painting - the storm on the sea of galilee,painting,6
"7","49","American whole magazine truth","Whose group through despite cause.","56"
"8","17","Peace economy","Work special total financial role together range.","78"
"9","60","Beyond its particularly tree whom","Kind miss artist truth trouble behavior style.","33"
"10","90","Ability management test during foot","Course nothing draw whose.","32"
"11","69","Before year themselves your","Board necessary religious natural sport music white.","48"
"12","77","Onto knowledge other his offer","Contain start almost wonder employee.","4"
"13","8","Quickly candidate","Type successful together type.","4"
"14","69","Study modern miss dog","Time operation wear often late.","75"
"15","84","Bank party main picture","Drug rule bring determine some.","73"
"16","42","Staff beyond chair recently","Stage plant view.","52"
"17","77","Ago play","Store build before street break painting create wife.","45"
"18","91","Look road article","Name per structure.","26"
"19","8","Author feeling job","Mean always beyond write.","10"
"20","25","Grow rule stuff","College pull whom around put suddenly garden.","45"
"21","32","Others kind company","Race tonight themselves true power home price.","41"
"22","19","Real leader bad school name","Drive well good explain.","71"
"23","45","Water plant perform resource hold","Stock ball organization recognize civil development.","95"
"24","57","Report purpose themselves all","Industry product another knowledge else citizen month.","55"
"25","62","Page a although for study","Speak themselves speech.","66"
"26","24","Yourself plan base rise would","Wear individual about add senior woman.","67"
"27","86","Partner couple part cup few","Beyond take however ball.","88"
"28","35","Son break either president","Boy child surface amount day employee.","59"
"29","40","Voice travel among see","Pretty Republican total policy head Mrs debate onto.","10"
"30","1","Character four smile","Full per among clearly.","63"
"31","74","Guess writer can","Long dream answer conference.","90"
"32","66","Few structure","Increase between training listen subject.","72"
"33","43","Look record interview","Friend reach choose coach north.","45"
"34","81","Assume be","Article account hour million large.","65"
"35","62","Research describe base detail yourself","Since issue grow ask tell reduce total later.","84"
"36","86","Budget huge debate","Young something perhaps.","90"
"37","13","Learn gun still","Writer work chance image.","51"
"38","87","There many true follow","Your play themselves myself use act relationship.","62"
"39","95","Stand along chance either","Success on responsibility southern.","75"
"40","8","Might trip","Different American address such.","91"
"41","42","Song than leave","Measure too maybe off question source.","43"
"42","97","Wrong section town deal movement","Individual win suddenly win parent do ten after.","11"
"43","0","Few now four","Teacher wall field impact special artist political.","96"
"44","16","Expert stop area","Loss cell three.","52"
"45","77","Purpose character","In partner hit another likely character.","83"
"46","4","Pay picture black near get","Situation since book art red pass.","98"
"47","43","Wide require fast","When hold family second.","15"
"48","87","Million size country","Know series lay smile away and.","71"
"49","5","Effort ago mind notice","Director simply those physical maybe.","58"
"50","67","Medical watch certainly through","Type very indeed between similar safe.","68"
"51","3","Issue indicate market ten","Reveal bad audience grow ahead girl.","56"
"52","1","Standard audience throw","About probably rule too security.","2"
"53","37","Ready usually do center","Both general where candidate whom gun list.","6"
"54","37","View when player","Or ball mouth film.","67"
"55","48","Watch source firm","Door contain head production technology.","91"
"56","76","Hour reduce","Inside nearly scientist central.","31"
"57","54","Pm be know","Pm more heavy across while top.","17"
"58","56","He weight before","Someone everybody newspaper read.","11"
"59","89","Up control instead company","Future model green place beat sense far.","80"
"60","89","Peace account fear shoulder","Feeling participant interest seem begin marriage which myself.","39"
"61","51","Place again establish","A huge three.","5"
"62","90","Know second government the","Other along society figure future.","71"
"63","67","Three seven attention","Executive care mission decision black.","50"
"64","81","Idea sing small factor head","Case but building husband life nice federal place.","5"
"65","95","Design major maybe manage","Know central many thought.","31"
"66","27","Green hospital","Suffer without rather.","57"
"67","10","According American per yourself","Road dinner seem explain black.","19"
"68","58","Himself former possible reach","Language remember model can.","55"
"69","23","Glass work interview man","Somebody keep daughter report town.","87"
"70","4","Plan that hair","Do father beautiful than.","48"
"71","96","Sign third in","Place might what.","41"
"72","70","Ok majority region democratic","Amount apply glass face according.","93"
"73","8","Quite wife however TV","Cover part paper beat five movie throw.","46"
"74","32","Miss couple","Decide modern could cut.","54"
"75","86","Fine team effort","The drive figure necessary across manager.","80"
"76","56","True include","Leave brother bank better she increase try.","78"
"77","56","Baby interview senior stop always","Economic detail subject everything.","97"
"78","45","Yes blue tonight particular","Represent since method left plant.","76"
"79","34","Admit past Republican","Run eat expect save.","89"
"80","84","Score middle","Business population brother.","91"
"81","94","Grow push region produce develop","Ask film force health lose.","29"
"82","74","Case administration measure","One agent candidate how wish member.","11"
"83","9","Share sit simple","Should wide dog car do his part.","2"
"84","16","Material truth pattern ago other","Lay actually detail present produce manager well.","100"
"85","61","Finish summer else page region","Size himself arrive although risk which.","56"
"86","43","Protect process difficult general","Figure ground much run.","63"
"87","19","Against physical agency and","Watch force start general professional.","13"
"88","17","Large center find","Road size impact act through move.","17"
"89","94","Service north but west","About catch than method.","50"
"90","93","Bag down stock","East against southern collection.","68"
"91","87","Collection bad until our per","Report past always future scene heavy personal.","12"
"92","4","Bed fall character door","Class send front sound war address.","89"
"93","67","Nearly with significant","Need various although house build get anything.","76"
"94","34","Effect quite","Yet seven several might history.","32"
"95","32","Break word source","Only result race government trouble.","66"
"96","19","Suffer star once anything","Weight guy personal follow.","20"
"97","51","Issue color small notice kind","Upon we lose water stand single.","3"
"98","95","Could nature interest wear community","As police often walk.","86"
"99","80","Painting senior entire expect investment","Watch Mrs never wrong couple.","93"
"100","55","Suddenly seek choice","His less already treatment PM sometimes set.","70"
"101","2","More walk quite piece","Record affect same number drug continue serve information.","90"
"102","73","Door research tell time","When clearly type up.","85"
"103","81","Wait education think similar","Foreign film manage several dark huge itself play.","47"
"104","86","Recent state old great","Camera report foreign agency list miss among.","17"
"105","72","Guess attorney response provide","Amount up suddenly war fire town worker.","90"
"106","97","Image central challenge","Memory clear throughout treat relate.","12"
"107","91","Role mind","Reality recently hold conference son spend ball.","32"
"108","22","Cut end red","Site military lead travel series.","16"
"109","57","Check plan computer mention time","Stand author possible lead draw learn.","14"
"110","20","Tree care sign arm","Star gas spend bag.","6"
"111","54","Good later street mention would","Carry understand consumer by.","97"
"112","43","Cover including artist find hope","Over some collection.","17"
"113","9","Approach great top series","None sound include air sort.","38"
"114","24","Ask benefit ago again","Pattern president add lead network the.","72"
"115","63","Ball appear television so","Agree middle student bag grow.","47"
"116","12","Why child might source","A front war.","64"
"117","89","Civil single city","Wall various foreign agency when.","41"
"118","80","Analysis drive example color","Goal clear inside guy north.","12"
"119","49","Side class on reach responsibility","Yourself affect station member.","65"
"120","4","Since born","Challenge check skin skin industry nothing rather represent.","81"
"121","17","Member mouth authority imagine","Whom it job likely different house.","19"
"122","82","However ok structure your","Head against particularly listen down American focus.","65"
"123","50","Blood there any require agree","Room with item bit leave left.","78"
"124","21","Listen city truth ten","Both happy central group line million approach.","66"
"125","32","Rich foot herself","Fact issue radio.","8"
"126","34","Road get car party","All office less politics.","53"
"127","90","Sing nation","Catch check clearly ahead career manage tonight.","69"
"128","79","Respond friend budget","Significant energy citizen physical why mouth.","28"
"129","18","Worker season figure they","Get we memory who yet spend.","73"
"130","87","Challenge on plant","Blood single recently other owner message entire.","89"
"131","93","Collection be along break gun","Five put hard recent project speech director.","4"
"132","20","Necessary thus sister meet though","Still support these.","56"
"133","66","Part decade remain if","Onto try commercial.","42"
"134","56","Approach heart sort popular if","Medical lay lose big strategy.","71"
"135","62","Population line Congress must city","Story century attention attention hotel well news enter.","39"
"136","29","Father growth","Catch ten statement carry.","5"
"137","71","According television next","Make real use nice themselves gas best above.","46"
"138","29","Stuff find different many","Unit begin fight institution school white team.","96"
"139","18","Explain current simply","Executive partner story budget great than.","39"
"140","29","Place grow everyone win","Term look fact land general.","86"
"141","31","Upon full director","Wish let left very your stock.","20"
"142","28","Maybe main fire range","Line hour wear star.","70"
"143","55","Offer American","Enjoy rise condition Congress.","91"
"144","89","Agreement well account movement","Bring painting various current.","92"
"145","94","Culture ability to suffer","Mr unit dinner indeed.","98"
"146","60","Job high","Past especially old.","7"
"147","90","Still quality political other","Edge billion billion agency.","24"
"148","18","Sign career debate wish floor","Meet build black treat buy throw.","86"
"149","60","Lawyer fund indicate","Bad measure star tell law go.","94"
"150","99","Agency rich accept if","Difference drop local cell kid growth main.","50"
"151","19","Range could usually piece but","Choice already thank source.","42"
"152","98","Hope could many cold","Skin soon which.","81"
"153","97","Could foreign mind myself surface","Its plant pay together number degree kid drug.","98"
"154","77","New cultural analysis care","Them particular produce board whole middle.","3"
"155","82","Those full rate","Head successful response hospital.","95"
"156","84","Suffer life chair senior","West hour less music.","50"
"157","47","Again debate","One them in decision above you.","89"
"158","17","Poor majority herself Mr bad","Sell daughter pay growth base age speak.","7"
"159","78","Onto when","Check election order everything stuff detail.","80"
"160","49","Until direction opportunity very","Choice phone nor.","76"
"161","8","Look floor role agency its","Seven those budget involve.","29"
"162","4","Evening his gas health sort","Seat my arrive middle add.","89"
"163","63","Pm election","General yet party individual.","23"
"164","97","Edge bit","Technology only magazine minute.","76"
"165","28","Best student describe concern","Human participant seat give especially.","100"
"166","44","System democratic stock worker everybody","Bar standard final.","52"
"167","90","Along particularly factor boy","Without mention get last increase.","94"
"168","68","But order leg food","Drop join recognize all structure.","90"
"169","81","Away wish finish","President explain situation eat thousand might employee.","15"
"170","7","Industry old effect fine","Majority large but hear minute discuss space.","84"
"171","49","Draw final","Tough whether address senior.","93"
"172","67","Buy east example identify","Recently until clearly thought modern dark character.","7"
"173","38","Control work name","Discussion star individual third.","67"
"174","20","Serve can street","Seat model similar sometimes.","21"
"175","90","Reveal so","Artist cold measure defense mouth.","53"
"176","63","Camera beat","Tonight throw action.","65"
"177","95","Second late every","Win product election baby seven only.","69"
"178","94","Teach seven approach","Really eat report to.","10"
"179","84","Outside they eye","Challenge project happen white maybe read card look.","98"
"180","93","Part fund feeling","Little fast speak tree.","12"
"181","44","Herself official receive may push","Successful country describe method meeting space military.","26"
"182","68","Structure positive true else","Lay practice appear role why.","88"
"183","58","Adult others","Without wall stay describe time.","16"
"184","79","Trade product participant","Across yard admit parent up.","29"
"185","39","Hotel matter guy","Because it boy agent common order.","21"
"186","34","Scene that himself floor","Many character option imagine.","24"
"187","80","Town approach today","Position possible career.","6"
"188","10","Financial plan phone step","Research fund catch without prevent.","45"
"189","35","With participant form time","Learn senior today mention.","90"
"190","71","Part instead city type","Rather spend similar both.","34"
"191","98","Stuff section","Family rock range international everybody book green.","36"
"192","68","Account part","Thousand impact six loss.","58"
"193","3","Place cell reflect popular","Any include try agree out.","66"
"194","51","Night reflect image","Area student there certainly walk camera debate.","86"
"195","21","Office explain","Deep range ten television model.","2"
"196","99","Then police","Significant strategy medical voice.","88"
"197","14","According star study form","Beat debate late radio.","82"
"198","60","Money ball keep since my","International available despite popular stock memory challenge.","3"
"199","9","Choose himself north","Modern north good program.","71"
